country,name_field,count
Ecuador,Sin Información,37
Peru,VILLA GONZALO,10
Peru,SANTA MARTHA,8
Peru,CHICOSA,8
Peru,ALIANZA PROGRESO,8
Peru,NUEVA LUZ,7
Ecuador,Cuyabeno - Imuya,7
Peru,SANTO TORIBIO DE MOGROVEJO,7
Peru,KOCHIRI,7
Peru,PUERTO NUEVO,6
Peru,SANTA CLARA,6
Peru,MAYAPO,6
Peru,NUEVA JERUSALEN,6
Ecuador,San Lorenzo,6
Peru,NUEVA VIDA,6
Peru,SANTA ELENA,6
Peru,CANDUNGOS,5
Peru,CARPINTERO,5
Peru,CASHIRIARI,5
Peru,NUEVO UNIDOS TAHUANTINSUYO,5
Peru,SHAIM,5
Peru,NUEVE DE OCTUBRE,5
Peru,KIVINAKI,5
Peru,BELLAVISTA,5
Peru,NUEVA UNION,5
Peru,SAN ANTONIO,5
Peru,BUENOS AIRES,5
Peru,BELEN,5
Peru,SANTA ELISA,5
Venezuela,Territorio tradicional Jivi,5
Venezuela,Territorio tradicional Mako,5
Peru,VISTA ALEGRE,5
Peru,SAN JOSE DE KARENE,5
Venezuela,Territorio tradicional Kari'ña,5
Peru,CAYAMAS,4
Peru,AJACHIN,4
Peru,PIJUAYAL,4
Peru,PAPAYACU O SAN MARTIN,4
Peru,PAMPA HERMOSA,4
Peru,CHIPE CUZU,4
Peru,WAWAIM,4
Peru,SANTA MARIA,4
Peru,ACHU,4
Peru,SANTA MARGARITA,4
Peru,NUEVO PROGRESO,4
Peru,CALLERIA,4
Peru,CAMISEA,4
Peru,WEE,4
Peru,MIARIA,4
Peru,POYENI,4
Peru,SAN RAFAEL,4
Peru,NUEVO LORETO,4
Peru,NUEVO HAHUAYPA,4
Peru,CHENI,4
Ecuador,Cañari,4
Peru,SAN PEDRO DE PICHANAZ,4
Peru,SAN CARLOS,4
Peru,PUCACURO,4
Peru,SAN JOSE DE KORIBENI,4
Peru,AMAQUIRIA,4
Peru,ROYA,4
Peru,SANTA TERESA,4
Peru,SAN JORGE,4
Peru,YAGUAS DE NUEVA ESPERANZA DE ATUN CAÑO,4
Peru,PUERTO PORVENIR,4
Peru,SAPANI,4
Ecuador,Yukias Sagrado C,4
Peru,SEPTIMO UNIDOS DE SANTA FE DE AGUACHINI,4
Peru,YUTUPIS,4
Peru,SENSA,4
Peru,PUERTO CONSUELO,4
Peru,SAN JUAN,4
Peru,SEMPAYA,4
Peru,HUACAMAYO,3
Peru,NARANJAL,3
Ecuador,Centro Shuar Pankints,3
Peru,TSACHOPEN,3
Peru,HUAGRAMONA,3
Peru,KOTSIMBA,3
Peru,HUAO,3
Peru,UNINI,3
Peru,UUT,3
Peru,UTUCURO,3
Peru,NAZARETH,3
Ecuador,Kushapuk,3
Peru,KITEPAMPANI,3
Peru,ISOLAYA,3
Peru,LAS PALMERAS,3
Peru,TUPAC AMARU,3
Peru,FERNANDO STHAL,3
Peru,JUAN VELASCO ALVARADO,3
Peru,MAÑARINI,3
Peru,UNION DE LA SELVA CACAZU,3
Peru,TSHONY,3
Peru,FLOR DE UCAYALI,3
Guyana,Wiruni Parcel 1-5,3
Peru,NUEVA JERUSALEN DE SHESHEA,3
Peru,TIMPIA,3
Peru,SANTA URSULA,3
Peru,SANTA TERESITA,3
Peru,PUIJA,3
Peru,QUEMPIRI,3
Peru,RIO BERTHA,3
Peru,SANTA ROSA DE OROSA,3
Peru,SAN ANTONIO DE SONOMORO,3
Peru,SANTA ROSA DE DINAMARCA,3
Peru,SAN JACINTO,3
Peru,SAN JUAN DE PAVAYACU,3
Peru,SANTA LUCIA,3
Peru,SAN MARCOS,3
Peru,SANTA ISABEL,3
Peru,SAN MIGUEL,3
Peru,SAN RAMON,3
Peru,PUERTO OCOPA,3
Peru,PUERTO GRAU,3
Peru,SEGAKIATO,3
Ecuador,24 De Mayo,3
Peru,TICUMPINIA,3
Peru,NUEVA VALENCIA,3
Peru,NUEVO CEYLAN,3
Peru,NUEVO MUNDO,3
Peru,NUEVO NAZARETH,3
Peru,NUEVO POZO,3
Peru,NUEVO SAN RAFAEL,3
Peru,SELVA,3
Peru,EL SOL,3
Peru,SHIRINGAMAZU,3
Peru,PAIK,3
Peru,PATRIA NUEVA DE MEDIACION,3
Peru,SHEREMASHE,3
Peru,SEPAHUA,3
Ecuador,Micha Nunka,3
Peru,MARISCAL CACERES,3
Peru,CACHIYACU,3
Peru,CAHUAPANAS,3
Peru,ANTIGUO KANAM,3
Peru,BOCA COCANI,3
Ecuador,San Carlos,3
Peru,ZAPOTE,3
Peru,COPALILLO,3
Peru,CHEMBO,3
Peru,BETIJAY,3
Peru,ALTO KIATARI,3
Peru,CURANJILLO,3
Ecuador,Sapara,3
Ecuador,Saraguro,3
Peru,CAMANA,3
Venezuela,Territorio tradicional Puinave,3
Peru,CUSU PAGATA,3
Ecuador,curaray,3
Peru,AINTAM,3
Peru,CACO MACAYA,3
Ecuador,Yawi,3
Peru,28 DE JULIO,3
Peru,AERIJA,3
Peru,BAJO CAPIRI,3
Peru,CUZCO,3
Peru,COLONIA CACO,3
Venezuela,Territorio tradicional Uwottüja,3
Peru,BETANIA,2
Peru,PUEBLO JOVEN SARGENTO LORES,2
Peru,PUERTO HUAMAN,2
Ecuador,Uchich Wichim,2
Peru,PUERTO HUALLANA,2
Peru,BELLO HORIZONTE,2
Peru,PUCALLPA,2
Peru,PUCAYACU,2
Peru,BALTA,2
Peru,PUERTO BELEN,2
Peru,PUEBLO NUEVO DEL CACO,2
Peru,PROVIDENCIA,2
Peru,PUERTO ALEGRE,2
Peru,PUERTO ARTURO,2
Peru,PUERTO AZUL,2
Peru,PUERTO AURORA,2
Peru,BETHEL,2
Peru,BETEL,2
Peru,PUERTO ELVIRA,2
Peru,BARRANCO CHICO,2
Peru,PUERTO DAVIS,2
Peru,BELEN DE URCO,2
Peru,PONCHONI,2
Peru,PROGRESO DE NUCURAY,2
Peru,PREFERIDA DE CHARASMANA,2
Peru,PAANTAN ENTSA,2
Peru,PACHACUTEC,2
Peru,BORAS DE PUCAURQUILLO,2
Peru,PAITITI,2
Peru,PAMPA CAÑO,2
Peru,BORAS DE COLONIA,2
Peru,PAMPA-ENTSA,2
Peru,PANDISHARI,2
Peru,PANGA,2
Peru,PANINTZA,2
Peru,PAOYHAN,2
Peru,BORAS DE BRILLO NUEVO,2
Peru,PARINARI,2
Peru,PASHKUS,2
Peru,BOLA DE ORO,2
Peru,PAUJIL,2
Peru,PEÑA NEGRA,2
Peru,BOCA DEL INAMBARI,2
Peru,BOCA DE COPAL,2
Peru,PINDUYACU,2
Peru,PITSA,2
Peru,PIURA,2
Peru,POROTOBANGO,2
Peru,POSHONARI-SHEJAROTENI,2
Peru,POYENTIMARI,2
Peru,PUERTO INDUSTRIAL,2
Peru,PUERTO ORLANDO,2
Peru,PUERTO IRENE,2
Peru,SAN JUAN DE UNGURAHUAL,2
Peru,ALTO MAYO,2
Peru,SAN JOSE DE NUEVA ESPERANZA,2
Peru,SAN JOSE DE PARINARI,2
Peru,SAN JOSE DE QUIRICHARI,2
Peru,SAN JOSE DE TOPAL,2
Bolivia,Alto Parapeti,2
Peru,SAN JUAN DE INUYA,2
Peru,ALTO CUYANI,2
Guyana,Massara Tract B,2
Peru,ALTO ARUYA,2
Brazil,Uneiuxi,2
Guyana,Orealla,2
Peru,SAN JUAN DE SAPOYACU,2
Peru,SAN LORENZO,2
Peru,PUERTO LETICIA,2
Peru,SAN LUIS,2
Peru,SAN LUIS DE CHINCHIHUANI,2
Peru,SAN MATEO,2
Peru,ALFONSO UGARTE,2
Peru,SAN PABLO,2
Peru,SAN PASCUAL,2
Peru,SAN PEDRO,2
Peru,AJUNTAI ENTSA,2
Peru,SAN PEDRO DE TIPISHCA,2
Peru,6 DE JULIO,2
Peru,SANIVENI,2
Peru,SANTA ANA,2
Peru,SANTA ANITA,2
Peru,ALTO SONDOVENI,2
Peru,SAN JOSE ALTO KUVIRIANI,2
Guyana,Kamwatta Extension,2
Peru,ANAPATE,2
Peru,PUERTO LUZ,2
Ecuador,Yayu,2
Peru,BAJO CHENCORENI,2
Peru,BUENA VISTA,2
Peru,BAJO ARUYA,2
Peru,PUERTO RICO,2
Peru,BAJO ALDEA PICHANAKI,2
Peru,AVANZADA PROGRESO DEL TAPICHE,2
Ecuador,canelos,2
Peru,ATALAYA,2
Peru,QUECHUA DE ARGENTINA,2
Peru,QUEMPORIQUISHI,2
Peru,QUEROS,2
Peru,RAMON CASTILLA,2
Peru,REMANZO,2
Peru,ATAHUALPA DE TABACOA,2
Ecuador,pakayaku,2
Peru,RUNUYA,2
Peru,SABABANTIARI,2
Peru,SAN ANDRES,2
Peru,ARAZAIRE,2
Ecuador,Ñeñeña,2
Peru,AOTI,2
Peru,SAN BERNARDO,2
Peru,ANTIOQUIA,2
Peru,SAN CRISTOBAL,2
Peru,SAN FRANCISCO O TZINQUIATO,2
Peru,OTICA,2
Peru,EL PILAR,2
Peru,ONCONOSHARI,2
Peru,OJEAYO,2
Peru,INKARE,2
Peru,CORIMANI,2
Peru,JUANCITO,2
Peru,JUNIN PABLO,2
Peru,KAWIT,2
Peru,CONTA,2
Peru,CONDOR,2
Ecuador,Pompeya,2
Peru,COMANDANCIA,2
Ecuador,Comuna Santa Rosa,2
Ecuador,Comuna San José,2
Peru,CLEYTON,2
Peru,Kakataibo Norte y Sur,2
Peru,LA CURVA,2
Peru,LAS MALVINAS,2
Peru,CHOCHOQUIARI,2
Peru,LIMON COCHA,2
Peru,LIMÓN COCHA,2
Peru,LOMA LINDA - LAGUNA,2
Peru,LORETO,2
Ecuador,Coca Sardinas,2
Peru,LUPUNAYO,2
Peru,MAIRIDICAI,2
Peru,MAMAYAQUE,2
Peru,CHIRUMBIA,2
Peru,MAMUS,2
Ecuador,Chichiz,2
Ecuador,Chapinza,2
Ecuador,Chai,2
Peru,INCA ROCA,2
Peru,CORITENI TARSO,2
Peru,IMPAMEQUIARI,2
Ecuador,Kurints,2
Peru,EL DORADO,2
Peru,ENCANTO DE SIUCA CAÑO,2
Peru,ENOC FLOR DE UN  DIA,2
Peru,ERE,2
Peru,EBRON,2
Peru,ESTIRON DE SANTA MARIA,2
Peru,ESTRELLA ANEXO NUEVO LAUREL,2
Ecuador,Manchinias,2
Peru,DUSHIP,2
Peru,FATIMA,2
Peru,DOS DE MAYO,2
Peru,DIAMANTE AZUL,2
Ecuador,Kusunts,2
Peru,GASTA BALA,2
Peru,HUITOTOS DE PUCAURQUILLO,2
Peru,GLORIABAMBA,2
Peru,GUAYABAL,2
Peru,HANSWALD,2
Ecuador,Indillama,2
Ecuador,Huino,2
Peru,CUSHILLO COCHA,2
Peru,CURIACA,2
Ecuador,Gabriel Calapucha,2
Peru,HUAMPAMI,2
Peru,HUANCAYO,2
Peru,HUARACAYO,2
Peru,CUCHARA,2
Peru,CRUZ DE PLATA,2
Peru,CHINGANA,2
Ecuador,Centro Shuar Wawaim,2
Peru,MASHUNTA,2
Peru,NUEVO OLAYA,2
Peru,CENTRO JANTENI,2
Peru,NUEVA YORK,2
Ecuador,San Ramón,2
Peru,NUEVO CANAAN,2
Ecuador,San Vicente,2
Peru,CATOTENI,2
Peru,NUEVO CUNSHAMAY,2
Peru,NUEVO GALILEA,2
Peru,CATAY,2
Ecuador,Atari,2
Peru,NUEVO IRASOLA,2
Peru,NUEVO ITALIA,2
Peru,NUEVO LIBERTAD,2
Peru,NUEVO PARAISO,2
Peru,NUEVA UNION PIEROLA,2
Ecuador,Amazonas,2
Peru,NUEVO PERU,2
Peru,NUEVO PORVENIR,2
Peru,CAIMITO,2
Ecuador,30 De Agosto,2
Peru,NUEVO SAMARIA,2
Peru,NUEVO SAN JOSE,2
Peru,NUEVO SAN JUAN,2
Ecuador,Narupa,2
Peru,BUFEO POZO,2
Peru,NUEVO YARINA,2
Peru,NUMPATKAIM,2
Peru,OCHO DE OCTUBRE,2
Peru,CENTRO PUCANI,2
Ecuador,San Francisco,2
Peru,MATERIATO,2
Peru,NARANJOS,2
Peru,CHINGAMAR,2
Peru,CHINCHENI,2
Ecuador,Centro Shuar Tsuntsuim,2
Peru,MAYURIAGA,2
Peru,CHIKAIS,2
Peru,CHENCARI,2
Peru,MONTE ALEGRE,2
Peru,MONTE CARMELO,2
Peru,MONTERRICO,2
Peru,MUWAIM,2
Peru,CHAYUYAKU,2
Peru,NAPURUK,2
Peru,CHAMIRIARI,2
Peru,CHAMIKAR,2
Peru,NUEVA SANTA ROSA,2
Peru,"NUEVA ALEGRIA ANEXO TRIUNFO, KUSUIMI Y TRES D",2
Peru,NUEVA ALIANZA,2
Ecuador,Centro Shuar Numpaim,2
Peru,NUEVA BETANIA,2
Peru,NUEVA CONQUISTA,2
Ecuador,Centro Shuar Kusutka,2
Peru,NUEVA ESPERANZA,2
Peru,NUEVA ESPERANZA Y ANEXOS,2
Peru,CHAKOPISHIATO,2
Ecuador,Saarentsa,2
Peru,CENTRO SELVA TZIPANI,2
Peru,NUEVA LIBERTAD DE PAUCARILLO,2
Ecuador,San Antonio,2
Peru,SANTA CARMELA - AMPLIACION,2
Peru,OTARI,2
Peru,YAHUMA II ZONA,2
Peru,TEMPESTAD,2
Peru,WACHIM,2
Peru,TIMPIÑARI,2
Peru,YARINA LLACTA,2
Bolivia,Lomerío,2
Bolivia,Leco de Larecaja,2
Bolivia,Leco de Apolo,2
Peru,SELVA DE ORO,2
Brazil,Menkü,2
Peru,SINCHI ROCA,2
Peru,TARISA,2
Peru,TAQUILA,2
Peru,TANGOSHIARI,2
Peru,URAKUZA,2
Peru,SEGUNDO SAN JUAN,2
Peru,TIPISHCA,2
Peru,SHAHUAYA,2
Peru,UNION BARRANQUITA,2
Peru,SHANQUI,2
Peru,TRES HERMANOS ANEXOS,2
Bolivia,Multiétnico (TIM),2
Peru,TORRES CAUSANO,2
Peru,SHAPAJILLA,2
Bolivia,Movima II,2
Bolivia,Movima,2
Peru,UNION MIRAFLORES CAPIRONA,2
Peru,"TIPISHCA COCHA ANEXO CABALLITO, NAZARETH",2
Bolivia,Moré,2
Bolivia,Monte Verde,2
Bolivia,Mojeño Ignaciano,2
Peru,TITIYACU,2
Peru,SHAMBO PORVENIR,2
Peru,SHAMATAK,2
Peru,SANTA ROSA DE CHUCHURRAS,2
Bolivia,Bajo Paragua,2
Bolivia,Baure,2
Bolivia,Itikaraparirenda,2
Peru,VENCEDORES,2
Peru,SUA-SAN ANTONIO,2
Bolivia,Iupaguasu,2
Bolivia,Itonama,2
Peru,TAHUANTI,2
Brazil,Paquiçamba,2
Bolivia,Isoso,2
Peru,SIWIN,2
Bolivia,Isiboro Secure (TIPNIS),2
Peru,VILLA MARIA DE CUMARILLO,2
Peru,SUPAYACU,2
Peru,SANTA ROSITA DE SHIRINTIARI,2
Peru,VILLA LUCERNA,2
Bolivia,Guarayo,2
Brazil,Bacurizinho,2
Bolivia,Joaquiniano,2
Peru,SANTA ROSA DE RUNUYA,2
Bolivia,Kaaguazu,2
Peru,VILLA MONTE ALEGRE,2
Bolivia,Chácobo - Pacahuara,2
Peru,SAWIENTSA,2
Peru,SOLEDAD,2
Bolivia,Charagua Sur (Parapitiguasu),2
Bolivia,Charagua Norte,2
Bolivia,Kaami,2
Peru,URPI ISLA,2
Peru,SANTA ROSA DE LAULATE,2
Bolivia,Cayubaba,2
Bolivia,Cavineño,2
Peru,URANIAS,2
Bolivia,Canichana,2
Peru,TRES HERMANOS DEL SIRA,2
Bolivia,Consejo Tsiname,2
Peru,UNION ANTONIETA,2
Peru,SHIMABENZO,2
Peru,SHIVANKORENI,2
Venezuela,Territorio tradicional Kurripaco,2
Bolivia,Takana III,2
Peru,SANTA ISABEL DE COPAL,2
Bolivia,Takovo Mora,2
Peru,SHIRINGAYOC,2
Bolivia,Yaminahua Machineri,2
Peru,SANTA ISABEL DE BAHUANISHO,2
Bolivia,Multiétnico II,2
Bolivia,Yuqui,2
Bolivia,Yuracare (Coniyura),2
Venezuela,Territorio tradicional Warao,2
Bolivia,Yuracare y Trinitaria El Pallar,2
Peru,SHIMAA,2
Peru,SANTA EMILIA,2
Bolivia,Takana - Cavineño,2
Peru,SHIMPE,2
Peru,TZIVETARI,2
Venezuela,Territorio tradicional Yeral,2
Peru,SHIMPENCHARIATO,2
Peru,YAGUAS DE BASILIO,2
Peru,YAGUAS DE CATALAN,2
Peru,YAMAKENTZA,2
Peru,TUYANKUWAS (SIJIAK),2
Peru,SHIMPIYACU,2
Peru,YAGUAS DE TIPISHCA,2
Peru,YAGUAS DE URCO MIRAÑO,2
Peru,SANTA CLARA DEL AMAZONAS,2
Peru,TUUTIN,2
Peru,TUNIM,2
Bolivia,Takana I,2
Brazil,Rio Negro Ocaia,2
Peru,WAWIK (NUEVO BELEN),2
Brazil,Rio Gregório,2
Peru,SHEVOJA,2
Peru,SHARARA,2
Peru,TRES ISLAS,2
Bolivia,Sirionó,2
Bolivia,Pilon Lajas,2
Peru,SHUSHUI,2
Peru,YANAYACU,2
Peru,SANTA LUCIA DE PRO,2
